Categorisation,Subcategories,Barcode,Name,Form,Product code ,SDS,Cas_No1,"Content1
(% )",Cas_No2,"Content2
(% )",Cas_No3,"Content3
(% )",Cas_No4,"Content4
(% )",Cas_No5,"Content5
(% )",Cas_No6,"Content6
(% )",Cas_No7,"Content7
(% )",Cas_No8,"Content8
(% )",Cas_No9,"Content9
(% )",Cas_No10,"Content10
(% )",Cas_No11,"Content11
(% )",Cas_No12,"Content12
(% )"
Bleach and disinfectant products?(15),Disinfectant (4),7.6154E+12,Disinfectant Sanitizer 0.5kg ,Solid,MFB012 ,https://media.supplychain.nhs.uk/media/documents/MFB012/COSHH/59819_MFB012.pdf,51580-86-0,3 to 10,90194-45-9,3 to 10,1344-09-8,3 to 10,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Cream Cleanser (3),,Cream Cleanser R7 500ml bottle ,Liquid,MFB015 ,https://media.supplychain.nhs.uk/media/documents/MFB015/COSHH/59860_MFB015.pdf,85117-50-6,3 to 10,497-19-8,3 to 10,68131-39-5,1 to 3,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),7.6154E+12,Toilet Cleaner R1 Angled neck bottle 750ml ,Liquid,MFB024 ,https://media.supplychain.nhs.uk/media/documents/MFB024/COSHH/59326_MFB024.pdf,5949-29-1,3 to 10,8030-78-2,1 to 3,57-55-6,1 to 3,22629-49-8,<0.01,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),7.6154E+12,Toilet Cleaner R1 plus super concentrated for daily use 1.5 ltr to use with angled neck bottle ,Liquid,MFB032 ,https://media.supplychain.nhs.uk/media/documents/MFB032/COSHH/66261_MFB032.pdf,5949-29-1,30 to 50,8030-78-2,3 to 10,57-55-6,3 to 10,67-63-0,3 to 10,1300-72-7,1 to 3,Unknown,0.1 to 1,68814-69-7,0.1 to 1,88-41-5,0.1 to 1,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),7.6154E+12,Hard Surface Cleaner R2-plus super concentrated for daily use 1.5 ltr. to use with foam trigger bottle ,Liquid,MFB035 ,https://media.supplychain.nhs.uk/media/documents/MFB035/COSHH/67774_MFB035.pdf,69011-36-5,3 to 10,7173-51-5,3 to 10,68424-85-1,3 to 10,69011-36-5,1 to 3,497-19-8,1 to 3,67-63-0,1 to 3,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),7.6154E+12,Hard Surface Cleaner R2 ready to use 750ml ,Liquid,MFB051 ,https://media.supplychain.nhs.uk/media/documents/MFB051/COSHH/59327_MFB051.pdf,69011-36-5,3 to 10,7173-51-5,0.1 to 1,68424-85-1,0.1 to 1,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Fly and Insect Killer (1),,Fly and Insect Killer BOP kills airborne and crawling pests 400ml ,Liquid,MFB084 ,https://media.supplychain.nhs.uk/media/documents/MFB084/COSHH/58665_MFB084.pdf,106-97-8 ,25 to 50,64-17-5 ,25 to 50,75-28-5 ,10 to 25,74-98-6 ,10 to 25,584-79-2,0 to 2.5,138-86-3,0 to 2.5,52315-07-8 ,0 to 2.5,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),7.6154E+12,Washroom Cleaner Cid conc with dosing cap for easy exact dosing 1 ltr concentrated bottle ,Liquid,MFB088 ,https://media.supplychain.nhs.uk/media/documents/MFB088/COSHH/65000_MFB088.pdf,5949-29-1,20 to 30,69011-36-5,10 to 20,,,,,,,,,,,,,,,,,,,,
Hard surface cleaning products(18),Hard Surface Cleaner (14),7.6154E+12,Hard Surface Cleaner 200 n.c conc with dosing cap for easy exact dosing 1 ltr bottle ,Liquid,MFB089 ,"https://media.supplychain.nhs.uk/media/documents/MFB089/COSHH/32300_MFB089.pdf
https://media.supplychain.nhs.uk/media/documents/MFB089/COSHH/59822_MFB089.pdf",85711-69-9  ,0 to 5,64-17-5,10 to 20,97489-15-1,3 to 10,196823-11-7,3 to 10,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),General surface cleaner (4),,General surface cleaner Difficil-s disinfectant starter kit (1 x mixing vessel 4 x variable angle top bottles 1 x mixing rod 1 x instructions 10 x 2 part cleaning chemical mix 4 cleaning cloths),Powder,MFB103,"https://media.supplychain.nhs.uk/media/documents/MFB103/COSHH/66243_MFB103.pdf
https://media.supplychain.nhs.uk/media/documents/MFB103/COSHH/66244_MFB103_.pdf
https://media.supplychain.nhs.uk/media/documents/MFB103/COSHH/66245_MFB103_1.pdf",7758-19-2,35 to 50,151-21-3,10 to 20,497-19-8,<10,77-92-9 ,50 to 75,51580-86-0,15 to 35,,,,,,,,,,,,,,
Cleaning chemicals?(135),General surface cleaner (4),5.06012E+12,General surface cleaner Difficil-S disinfectant refills (10 x 2 part chemical mix - total 20 sachets),Powder,MFB112,"https://media.supplychain.nhs.uk/media/documents/MFB112/COSHH/66246_MFB112.pdf
https://media.supplychain.nhs.uk/media/documents/MFB112/COSHH/66247_MFB112_.pdf
https://media.supplychain.nhs.uk/media/documents/MFB112/COSHH/66248_MFB112_1.pdf",7758-19-2,35 to 50,151-21-3,10 to 20,497-19-8,<10,77-92-9 ,50 to 75,51580-86-0,15 to 35,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Air Freshener (9),,Air Freshener Fresh Wild Berry Aerosol 400ml ,Aerosol,MFB142 ,https://media.supplychain.nhs.uk/media/documents/MFB142/COSHH/58859_MFB142.pdf,106-97-8,60 to 100,64-17-5,5 to 10,,,,,,,,,,,,,,,,,,,,
